Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
Eurasian Skylark,Yes,2,0,0,2
European Starling,Yes,2,0,0,2
Green-backed Trogon,Yes,2,0,0,2
Hudsonian Godwit,Yes,2,0,0,2
Laysan Albatross,Yes,2,0,0,2
Lesser Yellowlegs,Yes,2,0,0,2
Ruff,Yes,2,0,0,2
Ruffed Grouse,Yes,2,0,0,2
Rusty Sparrow,Yes,2,0,0,2
White-eared Hummingbird,Yes,2,0,0,2
White-tailed Hawk,Yes,2,0,0,2
Botteri's Sparrow,Yes,1,0,0,1
Chimney Swift,Yes,1,0,0,1
Eastern Towhee,Yes,1,0,0,1
Eurasian Jackdaw,Yes,1,0,0,1
Eurasian Wren,Yes,1,0,0,1
Great Black-backed Gull,Yes,1,0,0,1
Hoffmann's Woodpecker,Yes,1,0,0,1
Hook-billed Kite,Yes,1,0,0,1
Iceland Gull (Thayer's),Yes,1,0,0,1
Little Owl,Yes,1,0,0,1
Northern Hawk Owl,Yes,1,0,0,1
Red-legged Partridge,Yes,1,0,0,1
Rock Pigeon (Feral Pigeon),Yes,1,0,0,1
Rusty Blackbird,Yes,1,0,0,1
Speckled Hummingbird,Yes,1,0,0,1
Streaked Flycatcher,Yes,1,0,0,1
Swainson's Thrush,Yes,1,0,0,1
Vesper Sparrow,Yes,1,0,0,1
White-winged Crossbill,Yes,1,0,0,1
White-winged Tanager,Yes,1,0,0,1
Williamson's Sapsucker,Yes,1,0,0,1
Willow Flycatcher,Yes,1,0,0,1
Blue-headed Parrot,Yes,21,21,0,0
Blue-headed Vireo,Yes,20,20,0,0
Black Swift,Yes,16,16,0,0
Black Tern,Yes,16,16,0,0
Buff-breasted Flycatcher,Yes,14,14,0,0
Black-throated Gray Warbler,Yes,10,10,0,0
Black-billed Cuckoo,Yes,9,9,0,0
Northern Pygmy-Owl,Yes,6,6,0,0
Berylline Hummingbird,Yes,4,4,0,0
Black-chinned Sparrow,Yes,3,3,0,0
American Barn Owl,Yes,0,0,0,0
American Golden-Plover,Yes,0,0,0,0
American Herring Gull,Yes,0,0,0,0
Ashy Storm-Petrel,Yes,0,0,0,0
Black-and-white Becard,Yes,0,0,0,0
Black-chinned Hummingbird,Yes,0,0,0,0
Black-chinned Mountain Tanager,Yes,0,0,0,0
Blue-throated Mountain-gem,Yes,0,0,0,0
Blue-winged Warbler,Yes,0,0,0,0
Canada Jay,Yes,0,0,0,0
Clay-colored Sparrow,Yes,0,0,0,0
Common Gallinule,Yes,0,0,0,0
Common Poorwill,Yes,0,0,0,0
Couch's Kingbird,Yes,0,0,0,0
Dickcissel,Yes,0,0,0,0
Fulvous Whistling-Duck,Yes,0,0,0,0
Golden-cheeked Warbler,Yes,0,0,0,0
Greater Sage-Grouse,Yes,0,0,0,0
Greater Scaup,Yes,0,0,0,0
Ladder-backed Woodpecker,Yes,0,0,0,0
Lark Bunting,Yes,0,0,0,0
Lesser Scaup,Yes,0,0,0,0
Louisiana Waterthrush,Yes,0,0,0,0
Nelson's Sparrow,Yes,0,0,0,0
Northern Rough-winged Swallow,Yes,0,0,0,0
Northern White-fringed Antwren,Yes,0,0,0,0
Olive-sided Flycatcher,Yes,0,0,0,0
Pectoral Sandpiper,Yes,0,0,0,0
Red-crowned Amazon,Yes,0,0,0,0
Redpoll (Common),Yes,0,0,0,0
Ringed Kingfisher,Yes,0,22,0,0
Ruby-throated Hummingbird,Yes,0,0,0,0
Ruddy Ground Dove,Yes,0,0,0,0
Scarlet-rumped Tanager (Passerini's),Yes,0,0,0,0
Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Yes,0,0,0,0
South American Leaftosser,Yes,0,0,0,0
South Polar Skua,Yes,0,0,0,0
Tropical Royal Flycatcher,Yes,0,0,0,0
Western Flycatcher,Yes,0,0,0,0
White-fronted Amazon,Yes,0,0,0,0
White-throated Thrush,Yes,0,0,0,0
Woodhouse's Scrub-Jay,Yes,0,0,0,0
Yellow-headed Amazon,Yes,0,0,0,0
No Label,No,201275,0,502,201275
Humpback Whale,No,589,0,3,589
Wandering Albatross,No,541,0,3,541
Gentoo Penguin,No,541,5,15,536
King Penguin,No,490,27,28,464
Chinstrap Penguin,No,473,12,13,461
Waved Albatross,Yes,453,8,8,445
Ceremony,No,431,0,0,431
Red-tailed Hawk,Yes,412,3,3,409
Frigatebird,No,382,0,1,382
Prion,No,372,0,7,372
Tern,No,372,0,7,372
Green Heron,Yes,345,1,1,344
Scarlet Ibis,Yes,345,2,2,343
Shag,No,319,0,4,319
Pigeon Guillemot,Yes,309,1,1,308
Sandhill Crane,Yes,306,3,3,303
Snow Petrel,No,312,14,14,298
Turkey Vulture,Yes,295,1,2,294
Snail Kite,Yes,293,1,1,292
Land Iguana,No,290,0,4,290
Great Blue Heron,Yes,276,2,2,274
Galapagos Penguin,Yes,269,3,3,267
Adelie Penguin,Yes,264,11,12,253
Great Egret,Yes,242,13,1,241
Receiving Line,No,237,0,0,237
Snow Goose,Yes,238,3,3,235
Great Gray Owl,Yes,233,1,1,232
Skua,No,220,0,7,220
Elephant Seal,No,217,0,7,217
Emperor Penguin,No,217,2,3,215
Fur Seal,No,209,0,6,209
