Species Name,In JSON List,Total Photos (Label),Has Taxonomic Keyword,Published to SmugMug,Mismatched/Needs Tagging
White-fringed Antwren,No,13,0,0,13
Yellow-bellied Elaenia,No,13,0,0,13
Warbling Vireo,Yes,15,3,3,12
Meadow Pipit,Yes,13,1,1,12
Red Shoveler,No,13,1,1,12
Ruddy-tailed Flycatcher,No,13,1,1,12
Striped Cuckoo,No,13,1,1,12
Strong-billed Woodcreeper,No,13,1,1,12
White-crowned Pigeon,Yes,13,1,1,12
Bighorn Sheep,No,12,0,0,12
Common Bush-Tanager,No,12,0,1,12
Large Cactus Finch,No,12,0,0,12
Neotropical Cormorant,No,12,0,0,12
Pale-naped Brush-finch,No,12,0,0,12
Prothonatory Warbler,No,12,0,0,12
Red-lored Parrot,No,12,0,0,12
South Georgia Pipit,No,12,0,0,12
White-bellied Woodstar,No,12,0,0,12
Yellow-billed Cuckoo,No,12,0,0,12
Royal Tern,Yes,13,2,2,11
Smooth-billed Ani,Yes,13,2,2,11
Spectacled Thrush,Yes,13,2,2,11
Yellow-chinned Spinetail,No,13,2,2,11
Purple Honeycreeper,Yes,12,1,1,11
Finch,No,11,0,0,11
GrannyFest,No,11,0,0,11
Greater White-front Geese,No,11,0,0,11
Mockingbird,No,11,0,0,11
Red-bellied Warbler,No,11,0,0,11
White-necked Puffbird,No,11,0,0,11
White-winged Coot,No,11,0,0,11
Antillean Nighthawk,Yes,11,1,1,10
Chestnut-crowned Antpitta,No,11,1,1,10
Costa's Hummingbird,Yes,11,1,1,10
Gray Catbird,Yes,11,1,1,10
Long-billed Dowitcher,Yes,11,1,1,10
Cinnamon Woodpecker,No,10,0,0,10
Common Ground-Dove,No,10,0,1,10
Coyote,No,10,0,0,10
Dot-winged Antwren,No,10,0,0,10
Emerald Toucanet,No,10,0,0,10
Falklands Steamer Duck,No,10,0,0,10
Falklands Steamer-Duck,No,10,0,1,10
Giant Cowbird,No,10,0,0,10
Pearled Treerunner,No,10,0,0,10
Rock Cormorant,No,10,0,1,10
Rock Pigeon,No,10,1,0,10
Skylark,No,10,0,0,10
Sooty Tern,No,10,0,0,10
Southern Elephant Seal,No,10,0,2,10
White-capped Parrot,No,10,0,0,10
White-crowned Parrot,No,10,0,0,10
Rufous-throated Tanager,Yes,11,2,2,9
Common Chaffinch,Yes,10,1,1,9
Cryptic Becard,No,10,1,0,9
Northern Lapwing,No,10,1,1,9
Rufous-breasted Hermit,No,10,1,1,9
Upland Sandpiper,Yes,10,1,1,9
White-tufted Grebe,No,10,1,1,9
Alligator Lizard,No,9,0,0,9
Cherrie's Tanager,No,9,0,1,9
Greater Sage Grouse,No,9,0,0,9
Lake Duck,No,9,0,0,9
Long-tailed Sylph,No,9,0,0,9
Marsh Harrier,No,9,0,0,9
Red-headed Woodpecker,No,9,0,0,9
Rufous-naped Wren,No,9,0,1,9
Variable Seedeater (?),No,9,0,0,9
Black Hawk-Eagle,No,9,1,0,8
Copper-rumped Hummingbird,Yes,9,1,1,8
Gray-headed Chachalaca,No,9,1,1,8
Long-billed Starthroat,No,9,1,1,8
Moss-backed Tanager,No,9,1,1,8
Orange-fronted Parakeet,Yes,9,1,1,8
Pale-edged Flycatcher,No,9,1,1,8
Red-faced Spinetail,Yes,9,1,1,8
Semiplumbeous Hawk,No,9,1,1,8
Tufted Titmouse,No,9,1,1,8
Band-tailed Gull,No,8,0,0,8
Blue-throated Hummingbird,No,8,0,0,8
Coscoroba Swan,No,8,20,2,8
Epaulet Oriole (Moriche),No,8,0,0,8
Gartered Trogon,Yes,8,3,3,8
Harbor Seal,No,8,0,0,8
Hoffman's Woodpecker,No,8,0,0,8
Immaculate Antbird,No,8,0,0,8
Imperial Cormorant,No,8,0,0,8
Izzy,No,8,0,0,8
Mangrove Warbler,No,8,0,0,8
Masked Flowerpiercer,No,8,0,0,8
Northern Gallinule,No,8,0,0,8
Ruddy Ground-Dove,No,8,0,0,8
Rufous-breasted Wren,No,8,0,0,8
Subtropical Cacique,No,8,0,0,8
Tyrian Metaltail,No,8,0,0,8
White-throated Magpie-jay,No,8,0,1,8
Yucatan Vireo,No,8,0,0,8
Brant,Yes,9,2,2,7
Bare-shanked Screech-Owl,Yes,8,1,1,7
Least Bittern,Yes,8,1,1,7
Long-tailed Tyrant,No,8,1,1,7
Nashville Warbler,Yes,8,1,1,7
Red-gartered Coot,No,8,12,1,7
Saffron Finch,Yes,8,7,2,7
Alligator,No,7,0,0,7
Cayman,No,7,0,0,7
Curlew Sandpiper,No,7,0,0,7
Glossy-black Thrush,No,7,0,0,7
Greater white-front Geese,No,7,0,0,7
Jaeger,No,7,0,0,7
Lacrimose Mountain-tanager,No,7,0,0,7
Lesser Rhea,No,7,0,0,7
Linneated Woodpecker,No,7,0,1,7
Pacific-slope Flycatcher,No,7,0,0,7
Rufous-crowned Tody-flycatcher,No,7,0,0,7
Rufous-winged Woodpecker,No,7,0,0,7
Savanah Sparrow,No,7,0,0,7
Selaphorous Hummingbird,No,7,0,0,7
Snow  Petrel,No,7,0,0,7
Streak-crowned Antvireo,No,7,0,0,7
Swallow-tailed Kit,No,7,0,0,7
Tropical Mockingbird,No,7,0,0,7
Violaeous Trogon,No,7,0,3,7
White-tailed Sabrewing,No,7,0,0,7
YellowLegs,No,7,0,0,7
American Pipit,Yes,23,17,3,6
Crimson-rumped Toucanet,Yes,9,3,3,6
Monk Parakeet,Yes,8,103,3,6
Violaceous Euphonia,No,8,2,2,6
Bachman's Sparrow,Yes,7,1,1,6
Golden-headed Manakin,No,7,1,1,6
Lineated Woodpecker,No,7,2,2,6
Plumbeous Vireo,Yes,7,1,1,6
Zitting Cisticola,Yes,7,1,1,6
Ani,No,6,0,0,6
Baryl-spangled Tanager,No,6,0,0,6
Black Agouti,No,6,0,0,6
Caracara,No,6,0,0,6
Eurasian Collared Dove,No,6,0,0,6
Golden Plover,No,6,0,0,6
Gray-breasted Martin,No,6,0,0,6
Grey-headed Kite,No,6,0,0,6
Marine Toad,No,6,0,1,6
Mossy-backed Tanager,No,6,0,0,6
Patagonian Tyrant,No,6,0,0,6
Pineated Bittern,No,6,0,1,6
Sally Lightfood Crab,No,6,0,0,6
Sedge Wren,No,6,0,0,6
Shiny Cowbird,No,6,0,0,6
Silver-beaked Tanager,No,6,0,0,6
Wandering Albatross (Snowy),No,6,0,0,6
White-cheeked Pintail,No,6,0,0,6
White-chested Emerald,No,6,0,0,6
Yellow-winged Blackbird,No,6,0,0,6
Limpkin,Yes,92,87,2,5
Common Black Hawk,Yes,30,26,4,5
Keel-billed Toucan,Yes,7,2,2,5
Black Solitaire,Yes,6,1,1,5
Chestnut-colored Woodpecker,No,6,1,1,5
Cocoa Woodcreeper,No,6,1,1,5
Mottled Petrel,No,6,1,1,5
Antipodes Island basalt,No,5,0,5,5
Arctic Fox,No,5,0,3,5
Black-browed Albatross (Campbell),No,5,0,5,5
Bottlenose Dolphin,No,5,0,4,5
Chuckwallah,No,5,0,0,5
Coati Mundi,No,5,0,1,5
Common Redpoll,No,5,0,0,5
Corscoroba Swan,No,5,0,0,5
Frog,No,5,0,0,5
Grey Kingbird,No,5,0,0,5
Grey-throated Leaftosser,No,5,0,1,5
Lichen,No,5,0,2,5
Mangrove Swallow,No,5,0,0,5
Mountain Wren,No,5,0,0,5
Pale-breasted Spinetail,No,5,0,0,5
Piratic Flycatcher,No,5,0,0,5
Scaly-breasted Munia,No,5,0,0,5
Shining Honeycreeper,No,5,0,0,5
Snipe,No,5,0,0,5
Turquoise Jay,No,5,0,0,5
Yellow-billed Teal,No,5,18,1,5
Yellow-headed vulture,No,5,0,0,5
Yellow-naped Parrot,No,5,0,0,5
Yellow-throated Warbler ,No,5,0,0,5
Black Guillemot,Yes,9,5,5,4
Paradise Shelduck,No,8,4,4,4
Pink-footed Shearwater,Yes,5,107,3,4
Red-billed Pigeon,No,5,1,1,4
Rufous Hummingbird,Yes,5,1,1,4
Southern Beardless-Tyrannulet,Yes,5,1,1,4
White-tailed Ptarmigan,Yes,5,1,1,4
Bronzy Hermit,No,4,0,1,4
Cinclodes,No,4,0,1,4
Common Teal,No,4,0,0,4
Elegant Euphonia,No,4,0,0,4
European Crested Tit,No,4,0,0,4
Fork-tailed Palm-swift,No,4,0,0,4
Frigaebird,No,4,0,0,4
Giant Hummingbird,No,4,0,0,4
Goldeneye,No,4,0,0,4
Grey Heron,No,4,0,0,4
Harleqiun Duck,No,4,0,0,4
Imperial Shag,No,4,0,0,4
Light-mantled Sooty Albatross,No,4,0,2,4
Little Blue Heron (white phase),No,4,0,0,4
Lotus,No,4,0,1,4
Megaherb,No,4,0,4,4
Northern Pgymy-owl,No,4,0,0,4
Otter,No,4,0,0,4
Plumbeous Sierra-finch,No,4,0,1,4
Red-breasted Blackbird,No,4,0,0,4
Roman Amphitheatre,No,4,0,3,4
Ruddy Ground-dove,No,4,0,0,4
Sierra,No,4,0,0,4
Speckled Teal,No,4,0,0,4
Trinidad Euphonia,No,4,0,0,4
Tufted Tit-Tyrant,No,4,42,1,4
Wedge-billed Woodcreeper,No,4,0,0,4
Western Mockingbird,No,4,0,0,4
White-crested Elania,No,4,0,0,4
White-necked Jacobin,No,4,0,0,4
White-tailed Tyrant,No,4,0,0,4
Black-hooded Sierra Finch,No,11,8,1,3
Eurasian Blackbird,Yes,5,2,2,3
European Greenfinch,Yes,5,3,3,3
Tomtit,No,5,2,2,3
White-necked Thrush,Yes,5,2,2,3
White-bearded Manakin,Yes,4,1,1,3
Auckland Islands shag,No,3,0,0,3
Bearded Seal,No,3,0,3,3
Booby,No,3,0,0,3
Cobb's Wren,No,3,0,0,3
Collared Whitestart,No,3,0,0,3
Common Pauraque,No,3,0,0,3
Elk,No,3,0,0,3
Galapagos Tortoise,No,3,0,2,3
Golden-rumped Euphonia,No,3,0,0,3
Green Iguana,No,3,0,1,3
Green Shrike-Vireo,No,3,0,0,3
Lava Heron,No,3,0,0,3
Lava Lizard and Marine Iguana,No,3,0,1,3
Little Hermit,No,3,0,0,3
Lizard,No,3,0,0,3
Magnificent Hummingbird,No,3,0,0,3
Masked Tityra,No,3,0,0,3
New Zealand Fur Seal,No,3,0,2,3
New Zealand Sea Lion,No,3,0,2,3
Northern Beardless Tyrannulet,No,3,0,0,3
Northern Pig-tailed Macaque,No,3,0,3,3
Owl,No,3,0,0,3
Penguin,No,3,0,0,3
Pintado,No,3,0,0,3
Plain-brown Woodcreeper,No,3,0,0,3
Polaroid Land Camera J66,No,3,0,0,3
Red-crowned Parrot,No,3,0,3,3
Red-rumped Agouti,No,3,0,0,3
Sheep,No,3,0,1,3
Small Ground Finch,No,3,0,0,3
Tourmaline Sunangel,No,3,0,0,3
Tropical Pewee,No,3,0,0,3
Tāiko,No,3,0,3,3
White-tailed Emerald,No,3,0,0,3
White-tailed Mountain-gem,No,3,0,0,3
White-throated Emerald,No,3,0,0,3
White-winged Brush-finch,No,3,0,0,3
Woodpecker,No,3,0,0,3
Yellow-legged Thrush,No,3,0,0,3
Yellow-olive Flycatcher,No,3,0,0,3
Blue-footed Booby,Yes,657,655,10,2
Brewer's Blackbird,Yes,7,5,2,2
Long-tailed Broadbill,No,7,5,5,2
Coppery-headed Emerald,No,4,2,2,2
Toucan Barbet,Yes,4,2,2,2
White-bellied Antbird,Yes,3,1,1,2
A76-A,No,2,0,2,2
Agouti,No,2,0,2,2
Alvaro Jaramillo,No,2,0,0,2
Auckland Islands teal,No,2,0,2,2
Black-barred Owl,No,2,0,0,2
Bristlecone Pine,No,2,0,0,2
Butterfly,No,2,0,0,2
Campbell Island Pipit,No,2,0,1,2
Choco toucan,No,2,0,0,2
Cinnamon Hummingbird,No,2,0,0,2
Crested Duck,No,2,0,0,2
Crocodile,No,2,0,1,2
Dark-eyed Junco (Gray-headed),No,2,0,0,2
European Stonechat,No,2,0,0,2
Fawn-breasted Brilliant,No,2,0,0,2
Flavescent Flycatcher,No,2,0,0,2
Fork-tailed flycatcher,No,2,0,1,2
Glistening Green Tanager,No,2,0,0,2
Goldcrest,No,2,0,0,2
Gray-headed Albatross,No,2,1,1,2
Great Tinnamou,No,2,0,2,2
House Martin,No,2,0,0,2
Jackdaw,No,2,0,0,2
Lava Lizard,No,2,0,1,2
Oropendola,No,2,0,0,2
Pale-vented Pigeon,No,2,0,0,2
Pika,No,2,0,1,2
Rockhopper Penguin,No,2,0,2,2
Ruddy Pigeon,No,2,0,0,2
Saffron-crowned Tanager,No,2,1,1,2
Safron-crowned Tanager,No,2,0,1,2
Small Minivet,No,2,0,0,2
Southern Rough-winged Swallow,No,2,0,0,2
Subantarctic Fur Seal,No,2,0,2,2
Tarragona street art,No,2,0,1,2
Thayer's Gull,No,2,0,0,2
Three-toed Sloth,No,2,0,1,2
Tule Elk,No,2,0,0,2
Tussock Grass,No,2,0,0,2
Variable Seedeater,No,2,0,0,2
Warbler Finch,No,2,0,1,2
White Pelican,No,2,0,0,2
White-fringed Antshrike,No,2,0,0,2
White-line Sphynx Moth,No,2,0,1,2
White-winged Swallow,No,2,0,0,2
White-winged Swift,No,2,0,0,2
Worm-eating Warbler,No,2,0,0,2
Yellow Wagtail,No,2,0,1,2
Yellow-bellied Marmot,No,2,0,0,2
Yellow-hooded Blackbird,No,2,0,0,2
Yellow-throated marten,No,2,0,1,2
Canada Goose,Yes,157,156,1,1
American Kestrel,Yes,77,113,3,1
Western Swamphen,Yes,46,46,4,1
Blue-gray Tanager,No,22,21,3,1
Andean Cock-of-the-rock,Yes,15,14,2,1
Royal Penguin,No,14,13,13,1
Common Flameback,No,5,4,3,1
Reischek's Parakeet,No,5,4,4,1
Sanderling,Yes,4,5,4,1
Northern Gannet,Yes,3,2,3,1
American Flamingo,No,2,1,1,1
Blue Jay,Yes,2,1,1,1
Buller's Albatross,No,2,1,1,1
Coal Tit,No,2,1,1,1
Collared Aracari,No,2,1,1,1
Common Ringed Plover,Yes,2,2,2,1
Corn Bunting,Yes,2,1,1,1
Dunnock,No,2,1,1,1
Gray-lined Hawk,No,2,1,1,1
Virginia Rail,Yes,2,1,1,1
Yellow-eyed Penguin,No,2,1,1,1
A76a,No,1,0,1,1
Antarctic Fur Seal,No,1,0,1,1
Antipodes Albatross,No,1,0,1,1
Antipodes Island Pipit,No,1,0,1,1
Asian Common Toad,No,1,0,1,1
Auckland Island Pipit,No,1,0,1,1
Bamboo Woodpecker,No,1,0,0,1
Barn Swalliow,No,1,0,1,1
Bed #3,No,1,0,0,1
Black Bear,No,1,0,0,1
Black Catbird,No,1,0,1,1
Bounty Island Shag,No,1,0,1,1
British Soldiers,No,1,0,1,1
Broadbilled Hummingbird,No,1,0,0,1
Butter Bolete,No,1,0,0,1
Caldera,No,1,0,1,1
California Poppy,No,1,0,0,1
Campbell Island Teal,No,1,0,0,1
Caterpillar,No,1,0,1,1
Cats of Tarragona,No,1,0,0,1
Chard,No,1,0,0,1
Charlie Gomez,No,1,0,1,1
Checklist,No,1,0,1,1
Chiloe Wigeon,No,1,17,2,1
Chipmunk,No,1,0,0,1
Choi,No,1,0,0,1
Cloud Forest,No,1,0,1,1
Cocoa Thrush,No,1,0,0,1
Collared Kingfisher,No,1,0,0,1
Common Crossbill,No,1,0,0,1
Common Dolphin,No,1,0,1,1
Common Guillimot egg,No,1,0,1,1
Common House-Martin,No,1,0,0,1
Common Whitetail Skimmer,No,1,0,1,1
Common Whitethroat,No,1,0,0,1
Common x Barrow's Goldeneye,No,1,0,0,1
Coneflower,No,1,0,1,1
Cook's Petrel,No,1,0,0,1
Cora Lichen,No,1,0,0,1
Cow,No,1,0,0,1
Duck,No,1,0,0,1
Dusky Broadbill,No,1,0,0,1
Ebony Jewelwing,No,1,0,0,1
Expeditioners,No,1,0,0,1
Fieldfare,No,1,0,0,1
Flightless Steamer-Duck,No,1,0,0,1
Front Yard,No,1,0,0,1
Front Yarn Grass,No,1,0,0,1
Galapagos Fur Seal,No,1,0,1,1
Galapagos Penguin and Marine Iguana,No,1,0,1,1
Galapagos Sea Lion,No,1,0,1,1
Gecko,No,1,0,0,1
Godafoss,No,1,0,1,1
Golden Orb Weaver,No,1,0,1,1
Golden-crowned Warbler,No,1,0,0,1
Golden-mantled Ground Squirrel,No,1,0,1,1
Goldeneyes,No,1,0,0,1
Gray-headed Yellowthroat,No,1,0,0,1
Gray-hooded Brush-tanager,No,1,0,0,1
Great Grebe,No,1,20,1,1
Great Thrush,No,1,0,0,1
Great Tit,No,1,0,0,1
Great-horned Owl,No,1,0,0,1
Green-billed Malkoha,No,1,0,0,1
Grey-headed Tanager,No,1,0,0,1
Griffon Vulture,No,1,0,0,1
Halloween Pennant,No,1,0,1,1
High Desert,No,1,0,0,1
Honey Bee,No,1,0,0,1
Killer Whale,No,1,0,0,1
Lembert Dome,No,1,0,0,1
Lichen and friends,No,1,0,1,1
Little Gull,No,1,0,0,1
Little Heron,No,1,0,0,1
Lodgepole Chipmunk,No,1,0,1,1
M/S Samba,No,1,0,1,1
Magellanic Cormorant,No,1,0,0,1
Magenta-throated Woodstar,No,1,0,0,1
Mangrove Black Hawk,No,1,0,1,1
Manta Ray,No,1,0,0,1
Many-colored Rush-Tyrant,No,1,0,0,1
Marine Iguana and Sea Lion,No,1,0,1,1
Mary and Bill in the Pyrennes,No,1,0,1,1
Mealy Parrot,No,1,0,1,1
Medium Ground Finch,No,1,0,0,1
Merced NWR Auto Tour Loop,No,1,0,0,1
Mesquite,No,1,0,0,1
Mines Road,No,1,0,0,1
Morrel Mushroom,No,1,0,0,1
Moss and Lichen,No,1,0,1,1
Myrtle Warbler,No,1,0,0,1
Nelson's Sharp-tailed Sparrow,No,1,0,0,1
Northern Beardless-tyranulet,No,1,0,1,1
Ochreaceous Pewee,No,1,0,1,1
Onion flower,No,1,0,0,1
Oxidized Soil Layer,No,1,0,0,1
Pallid Dune-digger Bee,No,1,0,1,1
Perennial Cryptanthas,No,1,0,0,1
Phalarope,No,1,0,0,1
Photographers,No,1,0,0,1
Pine Cone Scales,No,1,0,0,1
Pine Drops,No,1,0,0,1
Plain Chachalaca  ,No,1,0,1,1
Plain-mantled Tit-Spinetail,No,1,0,0,1
Polar Bear,No,1,0,1,1
Red-crowned parakeet,No,1,0,1,1
Rio Tarcoles,No,1,0,1,1
Roger Steen Band,No,1,0,0,1
Roman bird mosaic,No,1,0,1,1
Royal Albatross,No,1,0,1,1
Royal Albatross (Northern),No,1,0,0,1
Rufous-bellied Seedeater,No,1,0,0,1
Rufous-breasted Chat-tyrant,No,1,0,0,1
Rufous-chested Dotterel,No,1,0,0,1
Rufous-chester Dotterel,No,1,0,0,1
SCVAS Costa Rica 2012,No,1,0,1,1
Sage Sparrow,No,1,0,0,1
Sally Lightfoot Crab,No,1,0,1,1
Salvin’s Albatross,No,1,0,1,1
Sandpipers,No,1,0,0,1
Scaled Pigeon,No,1,0,0,1
Scripp's Murrelet,No,1,0,0,1
Sea Turtle,No,1,0,1,1
Short-tailed Weasel,No,1,0,1,1
Slate-throated Whitestart,No,1,0,0,1
Slated-colored Junco,No,1,0,0,1
Slaty-capped Flycatcher,No,1,0,0,1
Snowy Cotinga,No,1,0,0,1
Sooty Robin,No,1,0,1,1
Sooty Thrush,Yes,1,1,1,1
Sooty-capped Bush-Tanager,No,1,0,1,1
Southern Bull Kelp,No,1,0,1,1
Sparrow,No,1,0,0,1
Streptanthus albidus (Jewel Flower),No,1,0,0,1
Stygian Owl,No,1,0,0,1
Sungold Tomatoes,No,1,0,0,1
Swallowtail,No,1,0,0,1
Tennessee Warbler,No,1,0,0,1
Ticknell’s Blue Flycatcher,No,1,0,1,1
Toad,No,1,0,0,1
Torrent Tyrannulet ,No,1,0,0,1
Tour Bus,No,1,0,1,1
Triteleia laxa (Itherial's Spear),No,1,0,0,1
Tropical Screech-owl,No,1,0,0,1
Tundra Swan (Bewick's),No,1,0,1,1
Turquoise Tanager,No,1,0,0,1
Tūī,No,1,0,1,1
Ushuaia,No,1,0,1,1
Valley of the Moon,No,1,0,1,1
Vampire Finch,No,1,0,1,1
Violet-capped Hummingbird,No,1,0,0,1
Vivek goes for it,No,1,0,1,1
Wandering Daisy,No,1,0,0,1
Water collection mechanism,No,1,0,0,1
Weidemeyer’s Admiral,No,1,0,1,1
White-crested Elenia,No,1,0,0,1
White-handed Gibbon,No,1,0,1,1
White-lined Sphinx Moth,No,1,0,1,1
White-rumped Shama,No,1,0,0,1
White-sided Dolphin,No,1,0,0,1
White-throated Mountaingem,No,1,0,1,1
White-winged Becard,No,1,0,0,1
Yellow-billed Tropicbird,No,1,0,0,1
Yellow-green Vireo,No,1,0,0,1
American Avocet,Yes,453,453,7,0
Black-footed Albatross,Yes,422,422,2,0
Brown Pelican,Yes,410,410,8,0
Osprey,Yes,354,354,2,0
American White Pelican,Yes,253,253,3,0
Black-crowned Night Heron,Yes,248,248,4,0
Black-browed Albatross,No,246,370,9,0
California Condor,Yes,234,234,1,0
American Bittern,Yes,227,227,3,0
Atlantic Puffin,Yes,211,211,12,0
Burrowing Owl,Yes,178,342,5,0
Anna's Hummingbird,Yes,153,153,3,0
Brandt's Cormorant,Yes,139,139,2,0
Black-necked Stilt,Yes,135,161,3,0
Giant Coot,No,123,123,2,0
Wild Turkey,Yes,115,115,1,0
Western Screech-Owl,Yes,114,114,1,0
Pintado Petrel,No,111,111,3,0
Calliope Hummingbird,Yes,108,108,1,0
Black Turnstone,Yes,106,106,2,0
Resplendent Quetzal,Yes,106,106,3,0
Bare-throated Tiger-Heron,Yes,105,105,4,0
Black-chested Buzzard-Eagle,No,104,220,2,0
American Wigeon,Yes,100,100,1,0
King Eider,No,99,99,2,0
Mallard,Yes,92,92,2,0
Bobolink,No,88,88,1,0
Amazon Kingfisher,Yes,86,86,2,0
Bewick's Wren,Yes,86,86,3,0
White Ibis,Yes,86,86,1,0
Black-tailed Godwit,No,84,84,3,0
Northern Shrike,Yes,84,84,1,0
Black-collared Hawk,Yes,81,81,2,0
California Thrasher,Yes,81,81,3,0
Black Vulture,Yes,80,80,3,0
American Coot,Yes,79,79,2,0
Orange-breasted Fruiteater,Yes,78,78,1,0
Blue-gray Gnatcatcher,Yes,76,76,1,0
Black Skimmer,Yes,74,74,3,0
Bufflehead,Yes,74,74,1,0
Evening Grosbeak,Yes,74,74,2,0
Northern House Wren,Yes,74,74,1,0
Caspian Tern,Yes,73,73,1,0
Blue-winged Teal,Yes,72,72,3,0
Hooded Merganser,Yes,72,72,1,0
Striated Caracara,No,71,71,1,0
Yellow-billed Magpie,Yes,71,71,2,0
Rock Wren,Yes,69,69,1,0
Ferruginous Pygmy-Owl,Yes,68,68,1,0
Mountain Bluebird,Yes,67,67,2,0
Bonaparte's Gull,Yes,66,66,1,0
Cedar Waxwing,Yes,65,65,4,0
Andean Avocet,Yes,63,63,1,0
Horned Coot,No,63,63,1,0
Gray Hawk,Yes,57,57,2,0
Northern Shoveler,Yes,57,57,1,0
American Robin,Yes,56,56,1,0
Cactus Wren,Yes,56,56,2,0
Black-legged Kittiwake,Yes,55,55,5,0
Canvasback,Yes,55,55,3,0
Peruvian Booby,No,54,80,2,0
Straight-billed Earthcreeper,No,54,54,1,0
Andean Condor,No,53,133,2,0
Barnacle Goose,No,53,53,2,0
Belted Kingfisher,Yes,53,53,2,0
California Towhee,Yes,53,53,1,0
Ross's Goose,Yes,53,53,1,0
Seaside Cinclodes,No,53,53,1,0
White-bridled Finch,No,53,53,1,0
Andean Goose,Yes,52,122,1,0
Black-faced Ibis,Yes,52,229,3,0
Violet-green Swallow,Yes,50,50,2,0
Wandering Tattler,Yes,49,49,1,0
Black-capped Chickadee,Yes,48,48,2,0
Dusky-tailed Canastero,No,48,48,1,0
Puna Teal,No,48,48,1,0
Black-billed Magpie,Yes,47,47,1,0
Broad-winged Hawk,Yes,47,47,4,0
Southern Giant-Petrel,Yes,47,47,2,0
Brown Skua,No,46,46,3,0
Brown Noddy,Yes,45,439,6,0
Bushtit,Yes,45,45,2,0
Pin-tailed Sandgrouse,Yes,45,45,2,0
Spot-flanked Gallinule,No,44,44,1,0
Mourning Sierra Finch,No,43,133,4,0
Pinyon Jay,Yes,43,43,2,0
Western Tanager,Yes,43,43,1,0
Fiery-billed Aracari,No,42,42,1,0
Ochre-breasted Antpitta,No,42,42,2,0
Rufous-necked Wood-Rail,No,42,42,1,0
Black-bellied Whistling-Duck,Yes,41,41,1,0
Downy Woodpecker,Yes,41,41,2,0
Fire-eyed Diucon,No,41,41,2,0
Northern Pintail,Yes,41,41,2,0
Black Phoebe,Yes,40,40,1,0
Red-tailed Tropicbird,No,40,62,2,0
Tufted Duck,Yes,40,40,3,0
Broad-billed Motmot,Yes,39,39,1,0
Northern Waterthrush,Yes,39,39,2,0
Pygmy Nuthatch,Yes,39,39,1,0
Antarctic Petrel,No,38,38,2,0
Boat-billed Heron,Yes,38,38,1,0
Ochre-naped Ground-Tyrant,No,38,38,1,0
Ridgway's Rail,Yes,38,38,2,0
Bronzed Cowbird,Yes,37,37,3,0
Canyon Wren,Yes,37,37,1,0
Ornate Hawk-Eagle,Yes,37,37,2,0
Yellow-crowned Night Heron,Yes,37,37,1,0
Red-backed Sierra Finch,No,36,36,1,0
Purple Martin,Yes,35,35,1,0
Soft-plumaged Petrel,No,35,35,1,0
Sooty Shearwater,Yes,35,35,1,0
Black-cheeked Warbler,Yes,34,34,2,0
Northern Bobwhite,Yes,34,34,1,0
White-throated Tapaculo,No,34,34,1,0
American Goldfinch,Yes,33,33,1,0
Andean Negrito,No,33,33,1,0
Green-winged Teal,Yes,33,33,1,0
Mourning Dove,Yes,33,33,3,0
Tricolored Blackbird,No,33,33,1,0
Yellow-rumped Cacique,No,33,33,1,0
Black-necked Swan,Yes,32,58,1,0
Black-throated Mango,Yes,32,32,4,0
Pyrrhuloxia,Yes,32,32,3,0
Black Oystercatcher,Yes,31,31,2,0
Buff-winged Cinclodes,No,31,31,1,0
Franklin's Gull,Yes,31,31,2,0
Killdeer,Yes,31,31,1,0
Ring-necked Duck,Yes,31,31,1,0
Clark's Grebe,Yes,30,30,2,0
American Crow,Yes,29,29,1,0
Eastern Yellow Wagtail,Yes,29,30,2,0
Nuttall's Woodpecker,Yes,29,29,1,0
Rufous-naped Ground-Tyrant,No,28,28,0,0
Black-backed Woodpecker,Yes,27,27,1,0
Dark-faced Ground-Tyrant,No,27,27,1,0
King Vulture,No,27,27,1,0
Olive Sparrow,Yes,27,27,2,0
Silvery Grebe,No,27,27,1,0
White-headed Petrel,No,27,27,1,0
Brown-headed Cowbird,Yes,26,26,1,0
Black-throated Green Warbler,Yes,25,25,1,0
Cassin's Kingbird,Yes,25,25,1,0
Golden-hooded Tanager,No,25,25,1,0
Powerful Woodpecker,No,25,25,1,0
Snowy Owl,Yes,25,25,2,0
Carunculated Caracara,Yes,24,24,1,0
Pale-legged Hornero,No,24,24,1,0
Thorn-tailed Rayadito,No,24,75,3,0
American Pygmy Kingfisher,Yes,23,23,2,0
Blackpoll Warbler,Yes,23,23,4,0
Chipping Sparrow,Yes,23,23,3,0
Orange-crowned Warbler,Yes,23,23,2,0
White-throated Caracara,No,23,23,1,0
Ash-throated Flycatcher,Yes,22,22,1,0
Montezuma Oropendola,No,22,22,1,0
Pacific Parrotlet,No,22,22,1,0
Black Swan,Yes,21,21,1,0
Black-and-white Warbler,Yes,21,21,3,0
Blue Grosbeak,Yes,21,21,2,0
Bright-rumped Attila,No,21,21,1,0
California Quail,Yes,21,21,2,0
Cape May Warbler,Yes,21,21,6,0
Golden-headed Quetzal,No,21,21,2,0
Mountain Parakeet,No,21,58,2,0
Ruddy Duck,Yes,21,21,3,0
American Redstart,Yes,20,20,1,0
Black-crested Titmouse,Yes,20,20,1,0
Black-hooded Antshrike,No,20,20,1,0
Boat-tailed Grackle,No,20,20,1,0
